text,pattern category
Mixing & Measuring,none
"fares starting only at @ ₹23,133*.",none
₹2000 off on exchange,none
"No Thanks, I Don't Want To Save",misdirection
CPUs & Processors,none
Only 32 left in stock,scarcity
What treats can I use?,none
SUPPORT THE AMERICAN SUPRESSOR ASSOCIATION,hidden_subscription
 New in ,none
Functional Cookies,none
Your plan includes auto-renewal for convenience. ₹599/month thereafter.,forced_continuity
Shop Safely And Securely,none
ONLY 1 LEFT! GET IT NOW!,scarcity
Only 2 Left in Stock,scarcity
 Get The Look The Full Story Shop Now Read More ,none
Home + Tech Almost Gone,none
Rachel Comey,none
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,urgency
0 Days 2 Hours 57 Minutes 53 Seconds,urgency
Fast Mover: 35 PEOPLE added this to cart today!,social_proof
Your order is reserved for 08:53 minutes!,urgency
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,obstruction
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",misdirection
· Physical Healing,none
Bath Bombs & Salts,none
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,misdirection
 Fashion Short Sleeve Crew Neck Print Dress ,none
Strength & Functional Training,none
 Bento Lunch Boxes & Food Containers ,none
"ADHD Friendly Profile: this profile significantly reduces distractions and noise to help people with ADHD, and Neurodevelopmental disorders browse, read, and focus on the essential elements more easily.",none
" -- Preeti Shenoy, author of THE RULE BREAKERS",none
The product you requested is not available in the selected country,none
Exclusive Offers Up To 45% Off,none
Forgot a cold drink? Get it in 10 mins from Blinkit,none
 Digital Device Covers ,none
"from Korea, South",none
You can opt out at any time by clicking unsubscribe.,none
Limited time remaining!,urgency
Free trial ends tomorrow – ₹799 auto-paid.,forced_continuity
NO THANKS,misdirection
"No thanks, I'll miss this exclusive deal.",confirmshaming
Hurry !! Only 52 left in stock,scarcity
 United States ,none
Buy 5 get extra 5% off,none
 All Personalised Gifts ,none
Set SALE Into Summer ,none
 Motocross Gloves ,none
Fashion Forms,none
Ignore ₹500 coupon? Click 'No thanks' to proceed.,confirmshaming
"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that’s nourished, smooth, and most importantly, clear!",none
Your membership continues automatically.,forced_continuity
Only 2 seats left at this price – book immediately!,fake_scarcity
 Data Processor Privacy Policy: https://casalemedia.com/ ,none
Offer expires in 0:03:15 – act fast!,fake_urgency
Add items worth ₹46 more to avoid ₹15 Small Cart Fee,confirmshaming
"No Thanks, I prefer paying full price.",misdirection
 Jersey GBP,none
Grab Upto 12% OFF* on Domestic Flights!,none
17 people have viewed this wine today,social_proof
 Rain Boots ,none
LIMITED TIME ONLY!,urgency
(LIMITED TIME OFFER) TORSION GUN HOLSTER SUPER COMBO,urgency
Code of Conduct,none
Spin to unlock your mystery offer,misdirection
"No thanks, I'd rather pay more",misdirection
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,none
Save Big on Your Next Getaway with Up to 15% OFF*,none
